Discipline,HPSAID,HPSAName,DesignationType,PrimaryStateName,CountyName,HPSAFTEShort,HPSAScore,PCMCTAScore,Status,RuralStatus,DesignationDate,UpdateDate
Primary Care,1356887130,New Laguna Community Health Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Cibola County, NM",,20,22,Designated,Rural,04/22/2021,08/31/2023
Mental Health,7358231390,New Laguna Community Health Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Cibola County, NM",,18,NA,Designated,Rural,04/22/2021,08/31/2023
Dental Health,6353932244,New Laguna Community Health Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Cibola County, NM",,19,NA,Designated,Rural,04/22/2021,08/31/2023
Primary Care,1357457590,Picuris Health Location,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Taos County, NM",,12,13,Designated,Rural,09/18/2020,08/31/2023
Mental Health,7354548521,Picuris Health Location,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Taos County, NM",,13,NA,Designated,Rural,09/18/2020,08/31/2023
Dental Health,6354134457,Picuris Health Location,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Taos County, NM",,19,NA,Designated,Rural,09/18/2020,08/31/2023
Primary Care,1359993593,Pine Hill Health Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Cibola County, NM",,14,22,Designated,Rural,10/26/2002,08/31/2023
Mental Health,735999355B,Pine Hill Health Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Cibola County, NM",,22,NA,Designated,Rural,07/21/2011,08/31/2023
Dental Health,635999355J,Pine Hill Health Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Cibola County, NM",,24,NA,Designated,Rural,07/21/2011,08/31/2023
Primary Care,13599935CE,PUEBLO PINTADO HEALTH STATION,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Sandoval County, NM",,20,22,Designated,Rural,02/16/2016,08/31/2023
Mental Health,735999355J,PUEBLO PINTADO HEALTH STATION,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Sandoval County, NM",,21,NA,Designated,Rural,02/16/2016,08/31/2023
Dental Health,635999355R,PUEBLO PINTADO HEALTH STATION,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Sandoval County, NM",,24,NA,Designated,Rural,02/16/2016,08/31/2023
Primary Care,1359993595,San Felipe Health Station,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Sandoval County, NM",,19,13,Designated,Rural,10/26/2002,08/31/2023
Mental Health,7359993522,San Felipe Health Station,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Sandoval County, NM",,18,NA,Designated,Rural,10/26/2002,08/31/2023
Dental Health,6359993530,San Felipe Health Station,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Sandoval County, NM",,20,NA,Designated,Rural,10/26/2002,08/31/2023
Primary Care,1359993585,SANDIA HEALTH CENTER,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Sandoval County, NM",,19,15,Designated,Non-Rural,10/26/2002,08/31/2023
Mental Health,7359993502,SANDIA HEALTH CENTER,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Sandoval County, NM",,18,NA,Designated,Non-Rural,10/26/2012,08/31/2023
Dental Health,635999350B,SANDIA HEALTH CENTER,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Sandoval County, NM",,20,NA,Designated,Non-Rural,10/26/2002,08/31/2023
Primary Care,1357786378,SANOSTEE HEALTH STATION,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"San Juan County, NM",,19,21,Designated,Rural,08/18/2019,08/31/2023
Mental Health,7358111567,SANOSTEE HEALTH STATION,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"San Juan County, NM",,20,NA,Designated,Rural,08/18/2019,08/31/2023
Dental Health,6356316179,SANOSTEE HEALTH STATION,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"San Juan County, NM",,22,NA,Designated,Rural,08/18/2019,08/31/2023
Primary Care,1354471684,Santa Ana Health Station,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Sandoval County, NM",,19,15,Designated,Non-Rural,12/28/2021,08/31/2023
Mental Health,7355585822,Santa Ana Health Station,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Sandoval County, NM",,16,NA,Designated,Non-Rural,12/28/2021,08/31/2023
Dental Health,6351632569,Santa Ana Health Station,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Sandoval County, NM",,19,NA,Designated,Non-Rural,12/28/2021,08/31/2023
Primary Care,1359993589,SANTA CLARA HEALTH CENTER,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Rio Arriba County, NM",,20,13,Designated,Rural,10/26/2002,08/31/2023
Mental Health,735999355M,SANTA CLARA HEALTH CENTER,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Rio Arriba County, NM",,19,NA,Designated,Rural,03/01/2019,08/31/2023
Dental Health,635999355T,SANTA CLARA HEALTH CENTER,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Rio Arriba County, NM",,10,NA,Designated,Rural,03/01/2019,08/31/2023
Primary Care,13599935A1,Santa Fe Indian Hospital,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Santa Fe County, NM",,19,13,Designated,Non-Rural,10/26/2002,08/31/2023
Mental Health,7355226190,Santa Fe Indian Hospital,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Santa Fe County, NM",,18,NA,Designated,Non-Rural,10/26/2002,08/31/2023
Dental Health,6355367344,Santa Fe Indian Hospital,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Santa Fe County, NM",,14,NA,Designated,Non-Rural,10/26/2002,08/31/2023
Primary Care,13599935B4,TAOS-PICURIS INDIAN HEALTH CENTER,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Taos County, NM",,11,13,Designated,Rural,10/26/2002,08/31/2023
Mental Health,735999355G,TAOS-PICURIS INDIAN HEALTH CENTER,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Taos County, NM",,14,NA,Designated,Rural,01/22/2016,08/31/2023
Dental Health,635999355O,TAOS-PICURIS INDIAN HEALTH CENTER,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Taos County, NM",,18,NA,Designated,Rural,01/22/2016,08/31/2023
Primary Care,1356901986,THOREAU HEALTH STATION,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"McKinley County, NM",,21,22,Designated,Rural,08/18/2019,08/31/2023
Mental Health,7355765876,THOREAU HEALTH STATION,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"McKinley County, NM",,22,NA,Designated,Rural,08/18/2019,08/31/2023
Dental Health,6357241539,THOREAU HEALTH STATION,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"McKinley County, NM",,24,NA,Designated,Rural,08/18/2019,08/31/2023
Primary Care,1352723756,TOADLENA HEALTH STATION,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"San Juan County, NM",,19,21,Designated,Rural,08/18/2019,08/31/2023
Mental Health,7359941941,TOADLENA HEALTH STATION,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"San Juan County, NM",,21,NA,Designated,Rural,08/18/2019,08/31/2023
Dental Health,6352094892,TOADLENA HEALTH STATION,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"San Juan County, NM",,22,NA,Designated,Rural,08/18/2019,08/31/2023
Primary Care,13599935B6,TOHATCHI HEALTH CENTER,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"San Juan County, NM",,20,22,Designated,Rural,10/26/2002,08/31/2023
Mental Health,7356485310,TOHATCHI HEALTH CENTER,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"San Juan County, NM",,21,NA,Designated,Rural,08/18/2019,08/31/2023
Dental Health,635999355K,TOHATCHI HEALTH CENTER,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"San Juan County, NM",,22,NA,Designated,Rural,10/26/2002,08/31/2023
Primary Care,13599935A6,ZIA HEALTH STATION,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Sandoval County, NM",,19,13,Designated,Rural,10/26/2002,08/31/2023
Mental Health,7359993553,ZIA HEALTH STATION,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Sandoval County, NM",,18,NA,Designated,Rural,03/19/2010,08/31/2023
Dental Health,635999355B,ZIA HEALTH STATION,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Sandoval County, NM",,20,NA,Designated,Rural,03/12/2010,08/31/2023
Primary Care,1359993560,ZUNI INDIAN HOSPITAL,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"McKinley County, NM",,21,22,Designated,Rural,10/26/2002,08/31/2023
Mental Health,7359993524,ZUNI INDIAN HOSPITAL,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"McKinley County, NM",,22,NA,Designated,Rural,10/26/2002,08/31/2023
Dental Health,6359993532,ZUNI INDIAN HOSPITAL,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"McKinley County, NM",,24,NA,Designated,Rural,10/26/2002,08/31/2023
Primary Care,1359772349,"Eight Northern Indian Pueblo Council, Inc. (Circle of Life)","Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Rio Arriba County, NM",,20,14,Designated,Rural,02/05/2024,02/05/2024
Mental Health,7352244420,"Eight Northern Indian Pueblo Council, Inc. (Circle of Life)","Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Rio Arriba County, NM",,16,NA,Designated,Rural,02/05/2024,02/05/2024
Dental Health,6351409827,"Eight Northern Indian Pueblo Council, Inc. (Circle of Life)","Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Rio Arriba County, NM",,9,NA,Designated,Rural,02/05/2024,02/05/2024
Primary Care,1351820837,MINERS COLFAX MEDICAL CENTER - RURAL HEALTH CLINIC,Rural Health Clinic,New Mexico,"Colfax County, NM",,18,17,Designated,Rural,02/05/2024,02/05/2024
Mental Health,7353526127,MINERS COLFAX MEDICAL CENTER - RURAL HEALTH CLINIC,Rural Health Clinic,New Mexico,"Colfax County, NM",,17,NA,Designated,Rural,02/05/2024,02/05/2024
Dental Health,6354643108,MINERS COLFAX MEDICAL CENTER - RURAL HEALTH CLINIC,Rural Health Clinic,New Mexico,"Colfax County, NM",,17,NA,Designated,Rural,02/05/2024,02/05/2024
Dental Health,6359993514,Central New Mexico Correctional Facility,Correctional Facility,New Mexico,,0.00,0,NA,Withdrawn,Unknown,11/15/1989,10/02/1995
Dental Health,6359993548,Carrie Tingley Dental Clinic,Other Facility,New Mexico,"Bernalillo County, NM",0.00,0,NA,Withdrawn,Non-Rural,11/20/2006,06/29/2012
Dental Health,6359993558,Circle of Life Behavioral Health,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Rio Arriba County, NM",0.00,19,NA,Withdrawn,Rural,10/22/2002,02/05/2020
Dental Health,635999355C,Guadalupe Correctional Facility,Correctional Facility,New Mexico,"Guadalupe County, NM",0.14,12,NA,Withdrawn,Rural,06/02/2011,06/25/2019
Dental Health,635999355D,Penitentiary of New Mexico,Correctional Facility,New Mexico,"Santa Fe County, NM",0.03,9,NA,Withdrawn,Non-Rural,06/07/2011,06/25/2019
Dental Health,635999355M,Pueblo of Laguna of Community Health and Wellness,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Valencia County, NM",0.00,19,NA,Withdrawn,Rural,02/07/2013,02/05/2020
Mental Health,7359993503,Albuquerque Behavioral Health,Other Facility,New Mexico,"Bernalillo County, NM",0.00,19,NA,Withdrawn,Non-Rural,06/19/2013,07/02/2014
Mental Health,7359993506,Central New Mexico Correctional Facility,Correctional Facility,New Mexico,,0.20,0,NA,Withdrawn,Unknown,10/24/1984,09/20/1999
Mental Health,7359993507,South New Mexico Correctional Facility,Correctional Facility,New Mexico,,0.00,0,NA,Withdrawn,Unknown,10/24/1984,09/15/2000
Mental Health,7359993508,Pen. Of New Mexico,Correctional Facility,New Mexico,,0.00,0,NA,Withdrawn,Unknown,10/24/1984,11/15/1989
Mental Health,735999350B,Penitentary of New Mexico,Correctional Facility,New Mexico,"Santa Fe County, NM",0.54,12,NA,Withdrawn,Non-Rural,06/04/2014,06/25/2019
Mental Health,735999350D,Western New Mexico Correctional Facility,Correctional Facility,New Mexico,"Cibola County, NM",0.22,15,NA,Withdrawn,Rural,06/13/2014,06/25/2019
Mental Health,7359993512,Las Vegas Medical Center,State Mental Hospital,New Mexico,,,0,NA,Withdrawn,Unknown,10/24/1984,11/03/2011
Mental Health,7359993542,First Nations Community Health Center,Federally Qualified Health Center Look-alike,New Mexico,"Bernalillo County, NM",,0,NA,Withdrawn,Non-Rural,10/31/2006,09/19/2019
Mental Health,7359993546,"Eight Northern Indian Pueblos, Inc.","Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Rio Arriba County, NM",0.00,19,NA,Withdrawn,Rural,10/26/2002,02/05/2020
Mental Health,7359993549,Taos PHS Indian Health Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Taos County, NM",0.00,19,NA,Withdrawn,Rural,03/09/2009,02/05/2020
Mental Health,7359993550,Circle of Life Behavioral Health,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Rio Arriba County, NM",0.00,17,NA,Withdrawn,Rural,10/22/2002,02/05/2020
Mental Health,7359993552,Zia Pueblo Health Program,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Sandoval County, NM",0.00,18,NA,Withdrawn,Rural,03/12/2010,02/03/2020
Mental Health,7359993554,New Mexico Womens Correctional Facility,Correctional Facility,New Mexico,"Cibola County, NM",0.00,21,NA,Withdrawn,Rural,06/28/2011,06/25/2019
Mental Health,7359993556,Central New Mexico Correctional Facility,Correctional Facility,New Mexico,"Valencia County, NM",0.32,21,NA,Withdrawn,Non-Rural,12/15/2011,06/25/2019
Mental Health,7359993557,Santa Fe Recovery Center,Other Facility,New Mexico,"Santa Fe County, NM",0.00,12,NA,Withdrawn,Non-Rural,12/15/2011,07/02/2018
Mental Health,735999355E,Pueblo of Laguna of Community Health and Wellness,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Valencia County, NM",0.00,20,NA,Withdrawn,Rural,02/07/2013,02/05/2020
Primary Care,135029,Luna,Geographic HPSA,New Mexico,"Luna County, NM",,0,NA,Withdrawn,Rural,09/03/1980,03/21/2003
Primary Care,135043,Sandoval,Geographic HPSA,New Mexico,"Sandoval County, NM",,0,NA,Withdrawn,Partially Rural,10/27/1978,03/16/1984
Primary Care,1359993501,Tierra Amarilla,Geographic HPSA,New Mexico,"Rio Arriba County, NM | Taos County, NM",,0,NA,Withdrawn,Rural,05/03/1979,07/14/2008
Primary Care,1359993504,Cloudcroft,Geographic HPSA,New Mexico,"Chaves County, NM | Otero County, NM",,0,NA,Withdrawn,Rural,05/16/1979,01/09/2007
Primary Care,1359993505,Quay/South Harding/Conchas Dam,Geographic HPSA,New Mexico,"Harding County, NM | San Miguel County, NM",,0,NA,Withdrawn,Rural,07/19/1978,01/21/1994
Primary Care,1359993506,Southwest Valley,Geographic HPSA,New Mexico,"Bernalillo County, NM",0.00,0,NA,Withdrawn,Non-Rural,07/22/1978,09/20/1999
Primary Care,1359993508,Pecos/Villanueva Service Area,Geographic HPSA,New Mexico,"San Miguel County, NM",0.60,15,NA,Withdrawn,Rural,06/17/1979,12/17/2013
Primary Care,1359993509,Embudo/Penasco,Geographic HPSA,New Mexico,"Taos County, NM",,0,NA,Withdrawn,Rural,06/17/1979,07/16/1981
Primary Care,1359993510,Santa Fe/LA Familia,Geographic HPSA,New Mexico,"Santa Fe County, NM",,0,NA,Withdrawn,Non-Rural,03/16/1984,01/17/2007
Primary Care,1359993512,Los Lunas,Geographic HPSA,New Mexico,"Valencia County, NM",,0,NA,Withdrawn,Non-Rural,03/14/1980,08/20/1990
Primary Care,1359993513,Navajo Ind. Population,Native American Population HPSA,New Mexico,"McKinley County, NM | San Juan County, NM",,0,NA,Withdrawn,Partially Rural,10/27/1978,03/07/1988
Primary Care,1359993516,Torrance/Claunch/Corona,Geographic HPSA,New Mexico,"Lincoln County, NM | Socorro County, NM",,0,NA,Withdrawn,Rural,10/27/1978,03/17/1993
Primary Care,1359993517,Penasco/Truchas/Embudo,High Needs Geographic HPSA,New Mexico,"Rio Arriba County, NM | Taos County, NM",1.80,0,NA,Withdrawn,Rural,03/16/1984,11/12/2010
Primary Care,1359993518,Jal/Eunice,Geographic HPSA,New Mexico,"Lea County, NM",,0,NA,Withdrawn,Rural,05/04/1981,03/31/2006
Primary Care,1359993520,Northern Gallup,Geographic HPSA,New Mexico,"McKinley County, NM",,0,NA,Withdrawn,Rural,09/10/1981,03/07/1988
Primary Care,1359993521,Magdalena,Geographic HPSA,New Mexico,"Socorro County, NM",,0,NA,Withdrawn,Rural,03/16/1984,05/14/2003
Primary Care,1359993525,Dexter - Hagerman,Geographic HPSA,New Mexico,"Chaves County, NM",,0,NA,Withdrawn,Rural,10/24/1984,03/24/1993
Primary Care,1359993526,Mora,Geographic HPSA,New Mexico,"Mora County, NM",,0,NA,Withdrawn,Rural,10/24/1984,03/17/1993
Primary Care,1359993527,Questa/Arroyo Hondo,Geographic HPSA,New Mexico,"Taos County, NM",2.37,0,NA,Withdrawn,Rural,10/24/1984,11/12/2010
Primary Care,1359993528,Thoreau,Geographic HPSA,New Mexico,"McKinley County, NM",,0,NA,Withdrawn,Rural,06/18/1986,03/07/1988
Primary Care,1359993529,Pinos Altos/Mimbres Service Area,Geographic HPSA,New Mexico,"Grant County, NM | McKinley County, NM",,0,NA,Withdrawn,Rural,07/24/1987,01/05/2007
Primary Care,1359993530,Low Income - Eddy County,Low Income Population HPSA,New Mexico,"Eddy County, NM",0.00,0,NA,Withdrawn,Rural,10/14/1987,12/31/1996
Primary Care,1359993531,American Indian - San Juan County,Native American Population HPSA,New Mexico,"San Juan County, NM",,0,NA,Withdrawn,Partially Rural,03/07/1988,03/26/2003
Primary Care,1359993535,Carrizozo,Geographic HPSA,New Mexico,"Lincoln County, NM",,0,NA,Withdrawn,Rural,02/05/1990,03/31/2006
Primary Care,1359993536,Springer/Cimarron,Geographic HPSA,New Mexico,"Colfax County, NM",,0,NA,Withdrawn,Rural,08/16/1990,10/02/1995
Primary Care,1359993537,Northern Lea,Geographic HPSA,New Mexico,"Lea County, NM",0.00,0,NA,Withdrawn,Rural,09/28/1990,02/20/2002
Primary Care,1359993538,Low Income/Homeless - Albuquerque Central,Low Income Homeless Population HPSA,New Mexico,"Bernalillo County, NM",,0,NA,Withdrawn,Non-Rural,11/23/1990,12/08/2005
Primary Care,1359993539,Low Income/Migrant Farmworker - Roosevelt County,Low Income Migrant Farmworker Population HPSA,New Mexico,"Roosevelt County, NM",2.60,0,NA,Withdrawn,Rural,03/04/1991,06/29/2012
Primary Care,1359993540,Tres Piedras,Geographic HPSA,New Mexico,"Taos County, NM",0.00,0,NA,Withdrawn,Rural,05/29/1992,05/30/1997
Primary Care,1359993541,Claunch,Geographic HPSA,New Mexico,"Socorro County, NM",,0,NA,Withdrawn,Rural,03/17/1993,05/14/2003
Primary Care,1359993545,Corona,Geographic HPSA,New Mexico,"Lincoln County, NM",,0,NA,Withdrawn,Rural,03/17/1993,03/31/2006
Primary Care,1359993546,Low Income - Chaves,Low Income Population HPSA,New Mexico,"Chaves County, NM",,0,NA,Withdrawn,Rural,03/24/1993,04/10/2003
Primary Care,1359993547,Low Income - Cerrillos/Madrid,Low Income Population HPSA,New Mexico,"Santa Fe County, NM",,0,NA,Withdrawn,Partially Rural,11/17/1993,09/20/1999
Primary Care,1359993548,North Valley,Geographic HPSA,New Mexico,"Bernalillo County, NM",,0,NA,Withdrawn,Non-Rural,06/08/1994,12/08/2005
Primary Care,1359993549,Low Income - Tularosa,Low Income Population HPSA,New Mexico,"Otero County, NM",,0,NA,Withdrawn,Rural,09/27/2001,01/09/2007
Primary Care,1359993551,Columbus,High Needs Geographic HPSA,New Mexico,"Luna County, NM",1.86,19,NA,Withdrawn,Rural,03/21/2003,04/16/2013
Primary Care,1359993565,Tyrone Service Area,Geographic HPSA,New Mexico,"Luna County, NM",,0,NA,Withdrawn,Rural,11/10/2004,01/05/2007
Primary Care,1359993575,South Colfax,Geographic HPSA,New Mexico,"Colfax County, NM",0.23,0,NA,Withdrawn,Rural,09/08/2005,05/21/2012
Primary Care,1359993580,Low Income - North Valley,Low Income Population HPSA,New Mexico,"Bernalillo County, NM",4.70,0,NA,Withdrawn,Non-Rural,12/08/2005,06/29/2012
Primary Care,13599935A8,Low Income - Otero,Low Income Population HPSA,New Mexico,"Otero County, NM",3.40,0,NA,Withdrawn,Rural,01/08/2007,06/29/2012
Primary Care,1358098060,CF-GUADALUPE COUNTY CORRECTIONAL FACILITY,Correctional Facility,New Mexico,"Guadalupe County, NM",0.39,12,NA,Withdrawn,Rural,09/01/2016,06/25/2019
Mental Health,7356427218,GUADALUPE COUNTY CORRECTIONAL FACILITY,Correctional Facility,New Mexico,"Guadalupe County, NM",0.63,21,NA,Withdrawn,Rural,09/01/2016,06/25/2019
Mental Health,7356476856,"Justice, Access, Support and Solutions for Health",Other Facility,New Mexico,"Bernalillo County, NM",,19,NA,Withdrawn,Non-Rural,12/30/2016,07/02/2018
Primary Care,13599935CC,Taos Picuris Health Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Taos County, NM",,18,NA,Withdrawn,Rural,01/22/2016,02/05/2020
Primary Care,1353255408,Chaves County,High Needs Geographic HPSA,New Mexico,"Chaves County, NM",10.36,16,NA,Withdrawn,Rural,04/10/2003,01/02/2024
Primary Care,1359965887,Valencia County,Geographic HPSA,New Mexico,"Valencia County, NM",12.28,17,NA,Withdrawn,Partially Rural,08/21/2012,01/02/2024
Primary Care,1352719805,Cibola County,High Needs Geographic HPSA,New Mexico,"Cibola County, NM",3.93,17,NA,Withdrawn,Rural,10/24/1984,01/02/2024
Dental Health,6356247112,Otero County,High Needs Geographic HPSA,New Mexico,"Otero County, NM",7.48,15,NA,Withdrawn,Rural,04/27/1992,01/02/2024
Dental Health,6356405904,Mora County,High Needs Geographic HPSA,New Mexico,"Mora County, NM",0.58,15,NA,Withdrawn,Rural,11/27/2012,01/02/2024
Dental Health,6356948720,Guadalupe County,High Needs Geographic HPSA,New Mexico,"Guadalupe County, NM",0.99,17,NA,Withdrawn,Rural,10/27/1978,01/02/2024
Dental Health,6353859647,Union County,High Needs Geographic HPSA,New Mexico,"Union County, NM",0.97,15,NA,Withdrawn,Rural,03/31/1992,01/02/2024
Mental Health,7358038326,San Miguel County,High Needs Geographic HPSA,New Mexico,"San Miguel County, NM",1.83,20,NA,Withdrawn,Rural,03/24/2011,01/02/2024
Mental Health,7351347212,Valencia County,Geographic HPSA,New Mexico,"Valencia County, NM",3.72,18,NA,Withdrawn,Partially Rural,10/24/1984,01/02/2024
Mental Health,7355636354,Northern Sandoval,High Needs Geographic HPSA,New Mexico,"Sandoval County, NM",1.18,19,NA,Withdrawn,Rural,07/31/1989,06/15/2020
Primary Care,1351721358,Western Rio Arriba,Geographic HPSA,New Mexico,"Rio Arriba County, NM",0.93,21,NA,Withdrawn,Rural,03/17/1993,06/25/2019
Primary Care,1351738774,Low Income - Tierra Amarilla/Vallecitas,Low Income Population HPSA,New Mexico,"Rio Arriba County, NM",0.36,14,NA,Withdrawn,Rural,07/14/2008,06/25/2019
Primary Care,1358043708,Coyote Service Area,High Needs Geographic HPSA,New Mexico,"Rio Arriba County, NM",0.36,15,NA,Withdrawn,Rural,03/17/1993,06/25/2019
Dental Health,6352249668,Harding County,High Needs Geographic HPSA,New Mexico,"Harding County, NM",0.16,7,NA,Withdrawn,Rural,10/27/1978,01/02/2024
Mental Health,7352758723,Plains Mental Health Service Area,High Needs Geographic HPSA,New Mexico,"Curry County, NM | De Baca County, NM | Guadalupe County, NM | Harding County, NM | Quay County, NM | Roosevelt County, NM | Union County, NM",4.55,18,NA,Withdrawn,Rural,12/30/1986,01/02/2024
Primary Care,1355671413,Dixon/Chimayo,Geographic HPSA,New Mexico,"Rio Arriba County, NM",5.81,17,NA,Withdrawn,Rural,06/19/2012,06/25/2019
Primary Care,1354789643,Rio Chama,Geographic HPSA,New Mexico,"Rio Arriba County, NM",1.02,18,NA,Withdrawn,Rural,03/17/1993,06/25/2019
Primary Care,1356841971,Southern Sandoval,High Needs Geographic HPSA,New Mexico,"Sandoval County, NM",6.50,16,NA,Withdrawn,Partially Rural,08/16/1984,01/02/2024
Dental Health,6354869794,Hildago County,High Needs Geographic HPSA,New Mexico,"Hidalgo County, NM",0.84,19,NA,Withdrawn,Rural,10/27/1978,01/02/2024
Dental Health,6358494110,Lea County,High Needs Geographic HPSA,New Mexico,"Lea County, NM",12.84,16,NA,Withdrawn,Rural,09/21/2001,01/02/2024
Primary Care,1359007929,Cerrillos/Madrid/Edgewood,Geographic HPSA,New Mexico,"Santa Fe County, NM",8.12,17,NA,Withdrawn,Partially Rural,03/29/2002,01/02/2024
Dental Health,6359635579,Cerrillos/Madrid/Edgewood,Geographic HPSA,New Mexico,"Santa Fe County, NM",5.39,15,NA,Withdrawn,Partially Rural,05/05/2004,01/02/2024
Primary Care,1353021279,Low Income - South East Heights,Low Income Population HPSA,New Mexico,"Bernalillo County, NM",12.70,20,NA,Withdrawn,Non-Rural,09/17/2012,01/02/2024
Dental Health,6355474572,Southwest Valley Service Area,High Needs Geographic HPSA,New Mexico,"Bernalillo County, NM",22.30,19,NA,Withdrawn,Non-Rural,07/17/1978,01/02/2024
Dental Health,6358662259,Low Income - North Valley,Low Income Population HPSA,New Mexico,"Bernalillo County, NM",8.38,19,NA,Withdrawn,Non-Rural,09/13/2005,01/02/2024
Mental Health,7359598103,Albuquerque Behavioral Health,Other Facility,New Mexico,"Bernalillo County, NM",4.25,18,NA,Withdrawn,Non-Rural,06/19/2013,06/25/2019
Mental Health,7353017611,Samaritian Counseling,Other Facility,New Mexico,"Bernalillo County, NM",2.14,19,NA,Withdrawn,Non-Rural,06/13/2014,06/25/2019
Mental Health,7351222668,Samaritan Counseling Center,Other Facility,New Mexico,"Bernalillo County, NM",4.25,18,NA,Withdrawn,Non-Rural,11/27/2012,06/25/2019
Mental Health,7358825148,University of New Mexico Psychiatric Center,Other Facility,New Mexico,"Bernalillo County, NM",4.25,18,NA,Withdrawn,Non-Rural,12/14/2012,01/02/2024
Dental Health,635011,De Baca,High Needs Geographic HPSA,New Mexico,"De Baca County, NM",0.40,13,NA,Withdrawn,Rural,10/27/1978,10/25/2012
Dental Health,635031,McKinley,Geographic HPSA,New Mexico,"McKinley County, NM",11.60,0,NA,Withdrawn,Rural,01/10/1985,06/29/2012
Dental Health,635039,Rio Arriba,Geographic HPSA,New Mexico,"Rio Arriba County, NM",,0,NA,Withdrawn,Rural,10/27/1978,01/10/1985
